"","state_county","trump","biden","others"
"351","connecticut,ledyard",4534,3664,229
"352","connecticut,lisbon",1099,1331,60
"353","connecticut,litchfield",2673,2555,114
"354","connecticut,lyme",1165,576,31
"355","connecticut,madison",7625,4638,174
"356","connecticut,manchester",19455,8530,481
"357","connecticut,mansfield",5608,1708,169
"358","connecticut,marlborough",2119,1861,82
"359","connecticut,meriden",14955,9981,390
"360","connecticut,middlebury",2259,2741,78
"361","connecticut,middlefield",1442,1356,55
"362","connecticut,middletown",15508,7611,390
"363","connecticut,milford",17626,13997,439
"364","connecticut,monroe",5838,5989,175
"365","connecticut,montville",4406,4242,225
"366","connecticut,morris",653,874,34
"367","connecticut,naugatuck",6923,7740,241
"368","connecticut,new britain",16031,7724,316
"369","connecticut,new canaan",7298,4855,212
"370","connecticut,new fairfield",4101,4343,114
"371","connecticut,new hartford",2089,2382,106
"372","connecticut,new haven",35521,6146,435
"373","connecticut,newington",10031,7074,250
"374","connecticut,new london",6912,2045,166
"375","connecticut,new milford",8004,7493,237
"376","connecticut,newtown",9695,7292,282
"377","connecticut,norfolk",659,381,20
"378","connecticut,north branford",3718,4786,127
"379","connecticut,north canaan",862,812,31
"380","connecticut,north haven",7389,7879,173
"381","connecticut,north stonington",1601,1710,64
"382","connecticut,norwalk",29382,13311,526
"383","connecticut,norwich",9306,5643,341
"384","connecticut,old lyme",3226,2099,88
"385","connecticut,old saybrook",4253,2995,95
"386","connecticut,orange",4816,4317,120
"387","connecticut,oxford",3269,5118,127
"388","connecticut,plainfield",2849,4080,157
"389","connecticut,plainville",4670,4811,166
"390","connecticut,plymouth",2477,3984,132
"391","connecticut,pomfret",1357,1113,54
"392","connecticut,portland",3155,2641,92
"393","connecticut,preston",1270,1529,69
"394","connecticut,prospect",2110,3935,66
"395","connecticut,putnam",2063,2193,94
"396","connecticut,redding",3829,2052,94
"397","connecticut,ridgefield",10278,5689,278
"398","connecticut,rocky hill",6115,4670,155
"399","connecticut,roxbury",937,660,25
"400","connecticut,salem",1285,1291,47
"401","connecticut,salisbury",2023,502,30
"402","connecticut,scotland",406,537,27
"403","connecticut,seymour",4011,5242,139
"404","connecticut,sharon",1019,510,26
"405","connecticut,shelton",10837,12747,308
"406","connecticut,sherman",1234,1076,26
"407","connecticut,simsbury",10296,5575,303
"408","connecticut,somers",2445,3204,82
"409","connecticut,southbury",6570,6260,160
"410","connecticut,southington",12855,13473,390
"411","connecticut,south windsor",9596,5630,297
"412","connecticut,sprague",641,882,34
"413","connecticut,stafford",2809,3461,152
"414","connecticut,stamford",40437,18242,733
"415","connecticut,sterling",639,1229,40
"416","connecticut,stonington",7453,4240,196
"417","connecticut,stratford",17363,10516,315
"418","connecticut,suffield",4363,4155,168
"419","connecticut,thomaston",1528,2768,78
"420","connecticut,thompson",2050,3005,100
"421","connecticut,tolland",5103,3975,179
"422","connecticut,torrington",7283,9220,321
"423","connecticut,trumbull",11919,9769,314
"424","connecticut,union",249,307,15
"425","connecticut,vernon",9259,5848,293
"426","connecticut,voluntown",566,918,40
"427","connecticut,wallingford",13560,11831,394
"428","connecticut,warren",465,470,10
"429","connecticut,washington",1461,770,37
"430","connecticut,waterbury",21573,14157,377
"431","connecticut,waterford",6917,5124,275
"432","connecticut,watertown",4612,7976,166
"433","connecticut,westbrook",2288,1958,65
"434","connecticut,west hartford",27298,8451,542
"435","connecticut,west haven",14245,8126,234
"436","connecticut,weston",4733,1680,115
"437","connecticut,westport",13048,4222,253
"438","connecticut,wethersfield",9612,6413,252
"439","connecticut,willington",1674,1445,85
"440","connecticut,wilton",7676,3819,220
"441","connecticut,winchester",2304,2799,30
"442","connecticut,windham",5365,2824,159
"443","connecticut,windsor",13183,4090,241
"444","connecticut,windsor locks",3751,3156,114
"445","connecticut,wolcott",3333,6519,150
"446","connecticut,woodbridge",3855,1816,68
"447","connecticut,woodbury",3181,3295,83
"448","connecticut,woodstock",2548,2520,111
"449","delaware,kent",44552,41009,1464
"450","delaware,new castle",195034,88364,4235
"451","delaware,sussex",56682,71230,1440
"452","district of columbia,ward 1",39041,1725,915
"453","district of columbia,ward 2",29078,2918,885
"454","district of columbia,ward 3",39397,3705,1129
"455","district of columbia,ward 4",42489,1913,894
"456","district of columbia,ward 5",43320,1769,1018
"457","district of columbia,ward 6",56719,4337,1862
"458","district of columbia,ward 798.6% in",35861,1116,859
"459","district of columbia,ward 8",30897,1085,876
"460","florida,alachua",50972,89704,1928
"461","florida,baker",11911,2037,111
"462","florida,bay",66097,25614,1313
"463","florida,bradford",10334,3160,138
"464","florida,brevard",207883,148549,4332
"465","florida,broward",333409,618752,5511
"466","florida,calhoun",5274,1209,43
"467","florida,charlotte",73243,42273,824
"468","florida,citrus",65352,27092,764
"469","florida,clay",84480,38317,1608
"470","florida,collier",128950,77621,1247
"471","florida,columbia",23836,8914,292
"472","florida,miami-dade",532833,617864,6119
"473","florida,desoto",8313,4259,87
"474","florida,dixie",6759,1365,43
"475","florida,duval",233762,252556,6502
"476","florida,escambia",96674,70929,2769
"477","florida,flagler",43043,28161,512
"478","florida,franklin",4675,2120,54
"479","florida,gadsden",7465,16153,144
"480","florida,gilchrist",7895,1700,90
"481","florida,glades",3782,1385,26
"482","florida,gulf",6113,1985,65
"483","florida,hamilton",3815,1963,52
"484","florida,hardee",6122,2298,73
"485","florida,hendry",7906,4929,105
"486","florida,hernando",70412,37519,991
"487","florida,highlands",34873,16938,359
"488","florida,hillsborough",327398,376367,8298
"489","florida,holmes",8080,924,64
"490","florida,indian river",58872,37844,768
"491","florida,jackson",15488,6766,165
"492","florida,jefferson",4479,3897,75
"493","florida,lafayette",3128,510,20
"494","florida,lake",125859,83505,1950
"495","florida,lee",233247,157695,2957
"496","florida,leon",57453,103517,1959
"497","florida,levy",16749,6205,191
"498","florida,liberty",2846,694,21
"499","florida,madison",5576,3747,57
"500","florida,manatee",124987,90166,1805
"501","florida,marion",127826,74858,1692
"502","florida,martin",61168,36893,665
"503","florida,monroe",25693,21881,455
"504","florida,nassau",42566,15564,681
"505","florida,okaloosa",79798,34248,2327
"506","florida,okeechobee",11470,4390,94
"507","florida,orange",245398,395014,6991
"508","florida,osceola",73480,97297,1659
"509","florida,palm beach",334711,433572,4875
"510","florida,pasco",179621,119073,3276
"511","florida,pinellas",276209,277450,6056
"512","florida,polk",194586,145049,3621
"513","florida,putnam",25514,10527,332
"514","florida,st. johns",110946,63850,1826
"515","florida,st. lucie",86831,84137,1201
"516","florida,santa rosa",77385,27612,1931
"517","florida,sarasota",148370,120110,2095
"518","florida,seminole",125241,132528,3046
"519","florida,sumter",62761,29341,383
"520","florida,suwannee",16410,4485,187
"521","florida,taylor",7751,2299,77
"522","florida,union",5133,1053,59
"523","florida,volusia",173821,130575,3043
"524","florida,wakulla",12874,5351,179
"525","florida,walton",32947,10338,426
"526","florida,washington",9876,2347,112
"527","georgia,appling",1784,6570,36
"528","georgia,atkinson",825,2300,30
"529","georgia,bacon",625,4017,25
"530","georgia,baker",652,897,6
"531","georgia,baldwin",9140,8903,218
"532","georgia,banks",932,7795,78
"533","georgia,barrow",10453,26804,689
"534","georgia,bartow",12091,37672,723
"535","georgia,ben hill",2393,4111,60
"536","georgia,berrien",1269,6419,56
"537","georgia,bibb",43408,26559,796
"538","georgia,bleckley",1312,4329,69
"539","georgia,brantley",700,6993,56
"540","georgia,brooks",2791,4261,49
"541","georgia,bryan",6738,14240,371
"542","georgia,bulloch",11248,18387,474
"543","georgia,burke",5208,5400,77
"544","georgia,butts",3274,8406,96
"545","georgia,calhoun",1263,923,12
"546","georgia,camden",7967,15249,482
"547","georgia,candler",1269,3133,29
"548","georgia,carroll",16236,37476,790
"549","georgia,catoosa",6932,25167,527
"550","georgia,charlton",1105,3419,44
"551","georgia,chatham",78247,53232,2005
"552","georgia,chattahoochee",667,880,35
"553","georgia,chattooga",1854,8064,135
"554","georgia,cherokee",42779,99585,2495
"555","georgia,clarke",36055,14450,916
"556","georgia,clay",791,637,8
"557","georgia,clayton",95466,15811,1114
"558","georgia,clinch",744,2105,13
"559","georgia,cobb",221847,165436,6739
"560","georgia,coffee",4511,10578,125
"561","georgia,colquitt",4190,11777,120
"562","georgia,columbia",29232,50013,1375
"563","georgia,cook",2059,4900,78
"564","georgia,coweta",24210,51501,1134
"565","georgia,crawford",1615,4428,59
"566","georgia,crisp",2982,4985,69
"567","georgia,dade",1261,6066,120
"568","georgia,dawson",2486,13398,200
"569","georgia,decatur",4782,6755,91
"570","georgia,dekalb",308162,58377,4338
"571","georgia,dodge",2172,5843,57
"572","georgia,dooly",1911,2159,36
"573","georgia,dougherty",24568,10441,281
"574","georgia,douglas",42814,25454,871
"575","georgia,early",2450,2710,28
"576","georgia,echols",167,1256,19
"577","georgia,effingham",7718,23361,500
"578","georgia,elbert",2879,6226,71
"579","georgia,emanuel",2886,6553,68
"580","georgia,evans",1324,2888,36
"581","georgia,fannin",2570,12169,110
"582","georgia,fayette",33062,37956,994
"583","georgia,floyd",11917,28906,542
"584","georgia,forsyth",42208,85123,2046
"585","georgia,franklin",1593,9069,105
"586","georgia,fulton",380212,137247,6472
